id,SKU,Descripcion,PrecioLista,Precio Distribuidor,idProveedor,Activo,Fotografia,Especificacion,Video,Status,Unidad, Moneda,Categorizacion
 ,115-S,PORTAPAPEL TRAD INST ANTIRROBO CLASICA S, ,1149.0,,,http://portal.helvex.com.mx/images/productos/115-S.jpg,,,,ST,MXN,
 ,117-38,FLUX MANIJA WC NPL RECT 38 CR, ,3652.0,,,http://portal.helvex.com.mx/images/productos/117-38.jpg,,,,ST,MXN,
 ,117-38-4.8L,FLUXOMETRO MANIJA WC 38MM 4.8L CR, ,3652.0,,,http://portal.helvex.com.mx/images/productos/117-38-4.8L.jpg,,,,ST,MXN,
 ,120-32,FLUX MANIJA WC CCODO 32 CR, ,3733.0,,,http://portal.helvex.com.mx/images/productos/120-32.jpg,,,,ST,MXN,
 ,120-38,FLUX MANIJA WC CCODO 38 CR, ,3733.0,,,http://portal.helvex.com.mx/images/productos/120-38.jpg,,,,ST,MXN,
 ,120-AI,PORTAKLEENEX EMP CH CLASICA AI, ,1070.0,,,http://portal.helvex.com.mx/images/productos/120-AI.jpg,,,,ST,MXN,
 ,120-S,PORTAKLEENEX EMP CH CLASICA S, ,1070.0,,,http://portal.helvex.com.mx/images/productos/120-S.jpg,,,,ST,MXN,
 ,120-SD,PORTAKLEENEX EMP CH CLASICA SD, ,1119.0,,,http://portal.helvex.com.mx/images/productos/120-SD.jpg,,,,ST,MXN,
 ,12104-AAI,PORTAPAPEL SENC ARSSEN AAI, ,747.0,,,http://portal.helvex.com.mx/images/productos/12104-AAI.jpg,,,,ST,MXN,
 ,12109-AAI,TOALL ARGOLLA ARSSEN AAI, ,812.0,,,http://portal.helvex.com.mx/images/productos/12109-AAI.jpg,,,,ST,MXN,
 ,122-38,FLUX MANIJA WC CODO 60CM 38 CR, ,3634.0,,,http://portal.helvex.com.mx/images/productos/122-38.jpg,,,,ST,MXN,
 ,122-L,TENDEDERO RETRACT D HILO CLASICA L, ,841.0,,,http://portal.helvex.com.mx/images/productos/122-L.jpg,,,,ST,MXN,
 ,124-40X11X21.1,PORTATOALL MULTIPLE CTOALL CR, ,2547.0,,,http://portal.helvex.com.mx/images/productos/124-40X11X21.1.jpg,,,,ST,MXN,
 ,124-L,PORTATOALL MULTIPLE CTOALL CLASICA L, ,1797.0,,,http://portal.helvex.com.mx/images/productos/124-L.jpg,,,,ST,MXN,
 ,1342-35-C,COLADERA TAPA CIEGA CUAD 3B AIBR, ,1798.0,,,http://portal.helvex.com.mx/images/productos/1342-35-C.jpg,,,,ST,MXN,
 ,1342-35-CHL,COLADERA DESAGÜE DE CONTORNO CUAD 3B CR, ,2017.0,,,http://portal.helvex.com.mx/images/productos/1342-35-CHL.jpg,,,,ST,MXN,
 ,1342-35-CHLI,COLADERA PERIMETRAL CUAD 3B P INSERTO CR, ,2017.0,,,http://portal.helvex.com.mx/images/productos/1342-35-CHLI.jpg,,,,ST,MXN,
 ,1342-35CH,COLADERA REJ CUAD 3B AIBR, ,1738.0,,,http://portal.helvex.com.mx/images/productos/1342-35CH.jpg,,,,ST,MXN,
 ,1342-H,COLADERA REJ RED 3B AIBR, ,1291.0,,,http://portal.helvex.com.mx/images/productos/1342-H.jpg,,,,ST,MXN,
